Achievement,Achievement_Priority,Client_Name_Pre,Client_Name,Client_Name_Post,Client_Name_Full,Client_Misc,Client_ID,Client_Order,Country,Location,Employer,Start_Date,End_Date,NDA,Project,Role,Role_Size,Role_Size,Task,Task_Priority,Tool,Tool_Type,Tool_Size
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Testing and evaluating controls procedures.,9,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Testing and evaluating controls procedures.,9,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Testing and evaluating controls procedures.,9,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Testing and evaluating controls procedures.,9,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Testing and evaluating controls procedures.,9,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Testing and evaluating controls procedures.,9,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Automation Engineer,3,10,Testing and evaluating controls procedures.,9,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Automation Engineer,3,10,Testing and evaluating controls procedures.,9,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Automation Engineer,3,10,Testing and evaluating controls procedures.,9,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Ledger accounts data mining and analytical reviews.,8,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Ledger accounts data mining and analytical reviews.,8,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Ledger accounts data mining and analytical reviews.,8,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Ledger accounts data mining and analytical reviews.,8,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Ledger accounts data mining and analytical reviews.,8,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Ledger accounts data mining and analytical reviews.,8,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Automation Engineer,3,10,Ledger accounts data mining and analytical reviews.,8,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Automation Engineer,3,10,Ledger accounts data mining and analytical reviews.,8,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Automation Engineer,3,10,Ledger accounts data mining and analytical reviews.,8,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Routine manual processes automation.,10,MS Excel,BI,4
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Routine manual processes automation.,10,proprietary tools,misc,2
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Audit Assistant,2,10,Routine manual processes automation.,10,VBA,language,3
Improved team's time efficiency by introducing automation.,10,leading,commercial banks,,leading commercial banks,,id_01,1,Belarus,Minsk,Ernst & Young,1/1/2010,6/1/2010,y,External financial audit,Data Analyst,12,14,Routine manual processes automation.,10,MS Excel,BI,4
